,Alignment,Character,Combat,Durability,Full_name,Gender,IQ,Intelligence,Level,Omnipotent,Power,Speed,Speed_velocity,Strength,Strength_force,Tier,Universe
80,Good,Ada Wong,80,15,,Female,140,70,1,0,15,13,23,5,200,1,Resident Evil
81,Good,Ada Wong,80,15,,Female,140,70,1,0,15,13,23,5,200,1,Resident Evil
82,Bad,Agony (Carnage-Infested),70,50,The Symbiote Takes The Name Of Its Current Host,,100,50,2,0,60,25,313,25,23000,2,Earth-616
83,Bad,Agony (Carnage-Infested),70,50,The Symbiote Takes The Name Of Its Current Host,,100,50,2,0,60,25,313,25,23000,2,Earth-616
84,Bad,Antonin Dolohov,55,10,,Male,120,60,3,0,60,7,12,1,100,2,
85,Bad,Antonin Dolohov,55,10,,Male,120,60,3,0,60,7,12,1,100,2,
86,Bad,Antonin Dolohov,55,10,,Male,120,60,3,0,60,7,12,1,100,2,
87,,Antu,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
88,,Antu,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
89,Bad,Archelus (EDF5),30,30,,,90,45,2,0,40,20,40,75,40000000,2,EDF
90,Bad,Archelus (EDF5),30,30,,,90,45,2,0,40,20,40,75,40000000,2,EDF
91,Bad,Archelus (EDF5),30,30,,,90,45,2,0,40,20,40,75,40000000,2,EDF
92,,Aulë,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,7,
93,Good,Aulë,100,100,,-,200,100,6,0,100,100,1000000000,100,1000000000,7,
94,Good,Aulë,100,100,,-,200,100,6,0,100,100,1000000000,100,1000000000,7,
95,Good,Aule The Toolsmith (True Form),60,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,8,Tolkien Legendarium
96,Good,Aule The Toolsmith (True Form),60,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,8,Tolkien Legendarium
97,,Aunt Hilda (Netflix),5,50,,,110,55,2,0,55,1,4,1,50,3,Archieverse
98,,Aunt Hilda (Netflix),5,50,,,110,55,2,0,55,1,4,1,50,3,Archieverse
99,Good,Badrock,80,70,,Male,120,60,3,0,70,50,10000,100,1000000000,4,
100,Good,Badrock,80,70,,Male,120,60,3,0,70,50,10000,100,1000000000,4,
101,Good,Badrock,80,70,,Male,120,60,3,0,70,50,10000,100,1000000000,4,
102,Neutral,Alec,15,5,Dr. Alexei Utgoff,Male,190,95,1,0,10,5,9,1,75,1,Stranger Things
103,Neutral,Alec,15,5,Dr. Alexei Utgoff,Male,190,95,1,0,10,5,9,1,75,1,Stranger Things
104,Neutral,Alec,15,5,Dr. Alexei Utgoff,Male,190,95,1,0,10,5,9,1,75,1,Stranger Things
105,Bad,Alter Ego,50,95,,Male,150,75,4,0,95,100,1000000000,100,1000000000,6,
106,Bad,Alter Ego,50,95,,Male,150,75,4,0,95,100,1000000000,100,1000000000,6,
107,Bad,Alter Ego,50,95,,Male,150,75,4,0,95,100,1000000000,100,1000000000,6,
108,,Bayek of Siwa,65,7,,,115,60,1,0,25,20,40,5,200,1,AC
109,,Bayek of Siwa,65,7,,,115,60,1,0,25,20,40,5,200,1,AC
110,,Adad,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
111,,Adad,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
112,,Adam,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
113,,Adam,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
114,Good,Adam,100,100,,,140,70,5,0,100,100,1000000000,100,1000000000,6,Record Of Ragnarok
115,Good,Adam,100,100,,Male,140,70,5,0,100,100,1000000000,100,1000000000,6,Record Of Ragnarok
116,Good,Agrus Kos,70,20,,Male,120,60,2,0,40,8,15,1,150,1,MtG
117,Good,Agrus Kos,70,20,,Male,120,60,2,0,40,8,15,1,150,1,MtG
118,,Bartel,30,15,,,120,60,2,0,50,25,100,20,800,2,Archieverse
119,,Bartel,30,15,,,120,60,2,0,50,25,100,20,800,2,Archieverse
120,Good,Arya Shadeslayer,100,80,,Female,185,95,3,0,90,25,750,25,1500,3,Eragonverse
121,Good,Arya Shadeslayer,100,80,,Female,185,95,3,0,90,25,750,25,1500,3,Eragonverse
122,Good,Arya Stark,60,8,,Female,120,60,1,0,10,7,12,1,40,1,
123,Good,Arya Stark,60,8,,Female,120,60,1,0,10,7,12,1,40,1,
124,Good,Arya Stark,60,8,,Female,120,60,1,0,10,7,12,1,40,1,
125,,Audrey Horne,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,Twin Peaks Verse
126,,Audrey Horne,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,Twin Peaks Verse
127,Bad,Augus,100,55,,Male,110,55,3,0,80,55,15000000,100,1000000000,4,
128,Bad,Artume,90,80,,Female,140,70,3,0,60,30,2500,60,1800000,5,Earth-92124
129,Bad,Artume,90,80,,Female,140,70,3,0,60,30,2500,60,1800000,5,Earth-92124
130,,Aruru,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
131,,Aruru,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
132,Bad,Arvin Sloane,40,100,Arvin Sloane,Male,130,65,2,0,70,1,8,1,100,2,Alias
133,Bad,Arvin Sloane,40,100,Arvin Sloane,Male,130,65,2,0,70,1,8,1,100,2,Alias
134,Good,Atum (The Slayer of Gods),100,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,8,Earth-616
135,Good,Atum (The Slayer of Gods),100,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,8,Earth-616
136,Good,Aldamon,70,60,,-,120,60,3,0,80,25,858,75,7500000,4,Digimon
137,Good,Aldamon,70,60,,-,120,60,3,0,80,25,858,75,7500000,4,Digimon
138,Good,Aldamon,70,60,,-,120,60,3,0,80,25,858,75,7500000,4,Digimon
139,,Aldar,55,65,,,120,60,3,0,75,25,50,95,820000000,4,Smallville
140,,Aldar,55,65,,,120,60,3,0,75,25,50,95,820000000,4,Smallville
141,Bad,Alpha Vampire,70,30,,Male,160,80,2,0,60,25,500,25,5000,2,Supernatural
142,Bad,Alpha Vampire,70,30,,Male,160,80,2,0,60,25,500,25,5000,2,Supernatural
143,Bad,Alpha Vampire,70,30,,Male,160,80,2,0,60,25,500,25,5000,2,Supernatural
144,Good,Batwoman,85,12,Katherine Rebecca Kane,Female,161,80,1,0,17,18,33,1,130,1,Prime Earth
145,Good,Batwoman,85,12,Katherine Rebecca Kane,Female,161,80,1,0,17,18,33,1,130,1,Prime Earth
146,Good,Batwoman,75,10,,Female,140,70,1,0,15,11,20,5,200,1,Arrowverse
147,Good,Batwoman,75,10,,Female,140,70,1,0,15,11,20,5,200,1,Arrowverse
148,Bad,Acnologia,90,90,,Male,160,80,5,0,90,85,500000000,95,800000000,4,Fairy Tail
149,Bad,Acnologia,90,55,,Male,130,65,4,0,100,100,1000000000,100,1000000000,4,Fairy Tail
150,Bad,Acnologia,90,55,,Male,130,65,4,0,100,100,1000000000,100,1000000000,4,Fairy Tail
151,,Acnologia (Dragon Form),80,90,,,180,90,5,0,90,90,600000000,95,800000000,4,Fairy Tail
152,,Acnologia (Dragon Form),80,90,,,180,90,5,0,90,90,600000000,95,800000000,4,Fairy Tail
153,,Acnologia (Dragon Form),80,90,,,180,90,5,0,90,90,600000000,95,800000000,4,Fairy Tail
154,Bad,Antlar,40,40,,Other,100,50,3,0,65,25,100,75,80000000,4,USU
155,Bad,Antlar,40,40,,Other,100,50,3,0,65,25,100,75,80000000,4,USU
156,Bad,Arch Illager,1,30,,Male,87,45,3,0,75,8,14,1,75,3,MC
157,Bad,Arch Illager,1,30,,Male,87,45,3,0,75,8,14,1,75,3,MC
158,Bad,Arch Illager,1,30,,Male,87,45,3,0,75,8,14,1,75,3,MC
159,,Arch-Druidess,20,5,,,110,55,1,0,10,5,9,1,100,1,Disenchantment
160,,Arch-Druidess,20,5,,,110,55,1,0,10,5,9,1,100,1,Disenchantment
161,Good,Archangel,60,25,Warren Kenneth Worthington III ,Male,130,65,2,0,60,30,2000,25,20000,2,Earth-616
162,Good,Archangel,60,25,Warren Kenneth Worthington III ,Male,130,65,2,0,60,30,2000,25,20000,2,Earth-616
163,Good,Barret,80,80,Barret Wallace,Male,110,55,5,0,95,100,1000000000,100,1000000000,5,FF VII
164,Good,Barret,80,80,Barret Wallace,Male,110,55,5,0,95,100,1000000000,100,1000000000,5,FF VII
165,Good,Barret,80,80,Barret Wallace,Male,110,55,5,0,95,100,1000000000,100,1000000000,5,FF VII
166,Good,Barrin,50,45,,Male,180,90,3,0,80,1,5,1,100,4,MtG
167,Good,Barrin,50,45,,Male,180,90,4,0,80,1,5,1,100,4,MtG
168,Good,Arwen,60,20,,Female,150,75,2,0,40,6,10,9,350,2,
169,Good,Arwen,60,20,,Female,150,75,2,0,40,6,10,9,350,2,
170,Good,Arwen,60,20,,Female,150,75,2,0,40,6,10,9,350,2,
171,-,Artume,90,80,,Female,140,70,3,0,60,30,2000,60,1800000,5,Earth-616
172,-,Artume,90,80,,Female,140,70,3,0,60,30,2000,60,1800000,5,Earth-616
173,Good,Attack Titan,75,35,,Male,130,65,2,0,40,25,50,55,1100000,2,AOT
174,Good,Attack Titan,75,35,,Male,130,65,2,0,40,25,50,55,1100000,2,AOT
175,Good,Alcatraz,50,25,,Male,130,65,1,0,40,20,40,25,10000,1,
176,Bad,Alcina Dimitrescu,30,25,,Female,120,60,2,0,40,25,50,25,2000,1,Resident Evil
177,Bad,Alcina Dimitrescu,30,25,,Female,120,60,2,0,40,25,50,25,2000,1,Resident Evil
178,Bad,Alcina Dimitrescu,30,25,,Female,120,60,2,0,40,25,50,25,2000,1,Resident Evil
179,Bad,Acid Breath,35,13,,Male,110,55,1,0,30,6,10,5,200,1,Ben 10
180,Bad,Acid Breath,35,13,,Male,110,55,1,0,30,6,10,5,200,1,Ben 10
181,Bad,Acid Breath,35,13,,Male,110,55,1,0,30,6,10,5,200,1,Ben 10
182,Bad,Aggregor,100,30,,Male,180,90,2,0,40,30,2000,30,80000,1,Ben 10
183,Bad,Aggregor,100,30,,Male,180,90,2,0,40,30,2000,30,80000,1,Ben 10
184,Good,Agira (Capsule Monster),25,20,,-,90,45,2,0,30,25,1029,75,25000000,3,USU
185,Good,Agira (Capsule Monster),25,20,,-,90,45,2,0,30,25,1029,75,25000000,3,USU
186,Good,Arceus,95,100,,,200,100,6,0,100,100,1000000000,100,1000000000,8,Pokemon
187,Good,Arceus,95,100,,,200,100,6,0,100,100,1000000000,100,1000000000,8,Pokemon
188,,Arcanon,70,30,,,160,80,2,0,50,25,100,25,1000,2,AB
189,,Arcanon,70,30,,,160,80,2,0,50,25,100,25,1000,2,AB
190,,Arcanon,70,30,,,160,80,2,0,50,25,100,25,1000,2,AB
191,Neutral,Battra,40,35,,Male,120,60,3,0,60,25,1029,75,30000000,3,Toho
192,Neutral,Battra,40,35,,Male,120,60,3,0,60,25,1029,75,30000000,3,Toho
193,Good,Batwing,80,15,,Male,160,80,1,0,20,17,30,8,300,1,Prime Earth
194,Good,Batwing,80,15,,Male,160,80,1,0,20,17,30,8,300,1,Prime Earth
195,Bad,Agent Zero,85,10,,Male,130,65,1,0,15,17,30,5,200,1,EMCU
196,Bad,Agent Zero,85,10,,Male,130,65,1,0,15,17,30,5,200,1,EMCU
197,Neutral,Anti-Venom (Klyntar Symbiote),70,60,The Symbiote Takes The Name Of Its Current Host,,100,50,2,0,65,25,313,30,63500,2,Earth-616
198,Neutral,Anti-Venom (Klyntar Symbiote),70,60,The Symbiote Takes The Name Of Its Current Host,,100,50,2,0,65,25,313,30,63500,2,Earth-616
199,Neutral,Anti-Venom II (Klyntar Symbiote),70,60,The Symbiote Takes The Name Of Its Current Host,-,100,50,2,0,65,25,313,30,63500,2,Earth-616
200,Neutral,Anti-Venom II (Klyntar Symbiote),70,60,The Symbiote Takes The Name Of Its Current Host,-,100,50,2,0,65,25,313,30,63500,2,Earth-616
201,Bad,Anti-Vision,90,100,Vision,Male,190,95,5,0,100,100,1000000000,100,1000000000,6,Earth-616
202,Bad,Anti-Vision,90,100,Vision,Male,190,95,5,0,100,100,1000000000,100,1000000000,6,Earth-616
203,-,Battler Ushiromiya,100,100,,-,195,100,6,0,100,100,1000000000,100,1000000000,9,Umineko Verse
204,-,Battler Ushiromiya,100,100,,-,195,100,6,0,100,100,1000000000,100,1000000000,9,Umineko Verse
205,-,Battler Ushiromiya,100,100,,-,195,100,6,0,100,100,1000000000,100,1000000000,9,Umineko Verse
206,Good,Battlestar,80,20,Lemar Hoskins ,Male,120,60,1,0,30,25,100,25,10000,1,Earth-616
207,Good,Battlestar,80,20,Lemar Hoskins ,Male,120,60,1,0,30,25,100,25,10000,1,Earth-616
208,,Ace The Bat-Hound,35,7,,,90,45,1,0,5,10,18,1,50,1,DCSHG
209,-,Ace Trappola,45,10,,Male,140,70,2,0,30,1,1,1,60,1,Twl
210,-,Ace Trappola,45,10,,Male,140,70,2,0,30,1,1,1,60,1,Twl
211,-,Ace Trappola,45,10,,Male,140,70,2,0,30,1,1,1,60,1,Twl
212,,Agent Trace,50,12,,,130,65,1,0,15,7,12,1,130,1,
213,,Agent Trace,50,12,,,130,65,1,0,15,7,12,1,130,1,
214,,Agent Trace,50,12,,,130,65,1,0,15,7,12,1,130,1,
215,Good,Agent Venom,100,30,Eugene Flash Thompson,Male,135,70,2,0,65,30,2000,25,1800,1,Earth-616
216,Good,Agent Venom,100,30,Eugene Flash Thompson,Male,135,70,2,0,65,30,2000,25,1800,1,Earth-616
217,,Anti-Pope,15,10,,,110,55,2,0,65,1,5,1,80,3,Archieverse
218,,Anti-Pope,15,10,,,110,55,2,0,65,1,5,1,80,3,Archieverse
219,Good,Arcadia,65,65,,Female,145,75,3,0,75,50,35869,50,653985,5,Winx Club Universe
220,Good,Arcadia,65,65,,Female,145,75,4,0,75,50,35869,50,653985,6,Winx Club Universe
221,Good,Arcadia,65,65,,Female,145,75,4,0,75,50,35869,50,653985,6,Winx Club Universe
222,Bad,Baron Zemo,80,15,,Male,170,85,1,0,15,15,27,8,300,1,Earth-616
223,Bad,Baron Zemo,80,15,,Male,170,85,1,0,15,15,27,8,300,1,Earth-616
224,Neutral,Articuno,80,55,,-,170,85,3,0,70,75,100000000,80,200000000,4,Pokemon
225,Neutral,Articuno,80,55,,-,170,85,3,0,70,75,100000000,80,200000000,4,Pokemon
226,Good,Atsushi Nakajima,80,25,,Male,100,50,2,0,45,45,8575,8,310,1,BSD
227,Good,Atsushi Nakajima,80,25,,Male,100,50,2,0,45,45,8575,8,310,1,BSD
228,Good,Atsushi Nakajima,80,25,,Male,100,50,2,0,45,45,8575,8,310,1,BSD
229,,Alpha,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,10,Vertigo
230,,Alpha,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,10,Vertigo
231,Good,Battlestar,60,10,,Male,120,60,1,0,10,8,15,5,200,1,MCU
232,Good,Battlestar,60,10,,Male,120,60,1,0,10,8,15,5,200,1,MCU
233,Good,Ace Ventura,40,10,,Male,120,60,1,0,5,6,10,1,100,1,Ace Ventura
234,Good,Ace Ventura,40,10,,Male,120,60,1,0,5,6,10,1,100,1,Ace Ventura
235,Bad,Anti-Spiral,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,8,Gurren Lagann
236,Bad,Anti-Spiral,70,100,,,200,100,6,0,100,100,1000000000,100,1000000000,8,Gurren Lagann
237,Bad,Anti-Spiral,70,100,,,200,100,6,0,100,100,1000000000,100,1000000000,8,Gurren Lagann
238,,Anti-Venom,75,35,Edward Charles Allan Brock,Male,140,70,3,0,60,25,80,50,400000,2,Earth-616
239,,Anti-Venom,75,35,Edward Charles Allan Brock,Male,140,70,3,0,60,25,80,50,400000,2,Earth-616
240,Bad,Baroness Blood,80,15,,Female,130,65,1,0,20,25,80,25,40000,1,Earth-616
241,Bad,Baroness Blood,80,15,,Female,130,65,1,0,20,25,80,25,40000,1,Earth-616
242,Good,Attack Titan,85,35,,Male,150,75,2,0,40,25,50,55,1100000,2,AOT
243,Good,Attack Titan,85,35,,Male,150,75,2,0,40,25,50,55,1100000,2,AOT
244,Good,Albus,30,10,,Male,50,25,1,0,25,25,100,1,180,2,Hero Wars Verse
245,Good,Albus,30,10,,Male,50,25,1,0,25,25,100,1,180,2,Hero Wars Verse
246,Good,Albus,30,10,,Male,50,25,1,0,25,25,100,1,180,2,Hero Wars Verse
247,Bad,Albus,100,100,,-,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
248,Bad,Albus,100,100,,-,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
249,Bad,Albus,100,100,,-,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
250,,Arthur Morgan,70,10,,,140,70,1,0,15,12,21,5,200,1,RDR
251,,Arthur Morgan,70,10,,,140,70,2,0,15,12,21,5,200,1,RDR
252,,Arthur Morgan,70,10,,,140,70,2,0,15,12,21,5,200,1,RDR
253,,Alberto,15,15,,,90,45,1,0,30,20,36,1,50,1,
254,,Alberto,15,15,,,90,45,1,0,30,20,36,1,50,1,
255,,Alberto,15,15,,,90,45,1,0,30,20,36,1,50,1,
256,Bad,Alpha,80,5,,Male,110,55,1,0,5,1,1,1,125,1,Prime Earth
257,Bad,Anti-Monitor (Death Metal),100,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,8,DM
258,Bad,Anti-Monitor (Death Metal),100,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,8,DM
259,Bad,Anti-Monitor (Reversion),80,100,Mobius,Male,200,100,6,0,100,100,1000000000,100,1000000000,9,AU
260,Bad,Anti-Monitor (Reversion),80,100,Mobius,Male,200,100,6,0,100,100,1000000000,100,1000000000,9,AU
261,Bad,Anti-Monitor (Sixth Dimension),80,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,9,AU
262,Bad,Anti-Monitor (Sixth Dimension),80,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,9,AU
263,Good,Arcades Sabboth,60,70,,Male,180,90,3,0,70,30,1372,60,1500000,4,MtG
264,Good,Arcades Sabboth,60,70,,Male,180,90,3,0,80,30,1372,80,150000000,4,MtG
265,,Baba Yaga,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
266,,Baba Yaga,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
267,Bad,Alatreon,80,65,,Male,130,65,3,0,75,80,300000000,100,1000000000,4,MH
268,Bad,Alatreon,80,65,,Male,130,65,3,0,75,80,300000000,100,1000000000,4,MH
269,Bad,Alatreon,80,65,,Male,130,65,3,0,75,80,300000000,100,1000000000,4,MH
270,Good,Battle Fire,75,70,,Male,140,70,3,0,85,35,3400,80,130000000,4,Earth-41252
271,Good,Battle Fire,75,70,,Male,140,70,3,0,85,35,3400,80,130000000,4,Earth-41252
272,Good,Battle Fire,75,70,,Male,140,70,3,0,85,35,3400,80,130000000,4,Earth-41252
273,,Battle Fist,50,10,,,120,60,1,0,45,5,9,25,2000,1,MHA
274,,Battle Fist,50,10,,,120,60,1,0,45,5,9,25,2000,1,MHA
275,Bad,Ace Killer,85,60,,Other,100,50,3,0,85,30,1715,80,200000000,4,USU
276,Bad,Ace Killer,85,60,,Other,100,50,3,0,85,30,1715,80,200000000,4,USU
277,,Agent Slater,55,5,,,110,55,1,0,15,5,9,5,200,1,Archer
278,,Agent Slater,55,5,,,110,55,1,0,15,5,9,5,200,1,Archer
279,Bad,Agent Smith,100,70,,Male,190,95,3,0,90,50,12000,30,100000,3,Matrix
280,Bad,Agent Smith,100,70,,Male,190,95,3,0,90,50,12000,30,100000,3,Matrix
281,Bad,Agent Smith,100,70,,Male,190,95,3,0,90,50,12000,30,100000,3,Matrix
